"recipient_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"679b78d2-62c9-4e93-b113-219877ee1263","[Swiss Confederation] [COE] // The Swiss Confederation [CWE] // Swiss Confederacy [ALLEN]","1526-05-15","1526-05-15"
"68add1e0-6f2d-4337-a54c-4effecafa94f","Andrzej ZEBRZYDOWSKI [COE] // Andrzej Zebrzydowski [CWE] // Zebrzydowski, Andreas [ALLEN]","1527-05-21","1528-12-23"
"68daf841-f9de-4c12-9bc1-80d9c856c4e2","Thomas CROMWELL [COE] // Thomas Cromwell [CWE] // Cromwell, Thomas (Cronveldius) [ALLEN]","1536-03-15","1536-03-15"
"68f29024-d03b-49df-8761-25347fb05b59","Pedro MEXÍA [COE] // Pedro Mexía [CWE] // Mexia, Peter [ALLEN]","1530-03-30","1533-12-24"
"68f64a84-5587-4a5b-990a-8e6b0533a614","Ernest, duke of BAVARIA [COE] // Duke Ernest of Bavaria [CWE] // Ernest, Duke of Bavaria [ALLEN]","1517-11-04","1517-11-04"
"6914c095-2042-4763-b7ec-9fef44c2dc83","Vincentius THEODERICI [COE] // Vincentius Theoderici [CWE] // Theodorici, Vincentius (Bucenta) [ALLEN]","1521-03-10","1521-03-10"
"69e585a9-41c8-4eee-84ad-e1d11f53cf96","[Franciscans] [COE] // Franciscans [CWE] // Franciscans [ALLEN]","1530-02-20","1530-02-20"
"6ac52cc2-ec92-4f71-a6b7-54dc74c8256f","Francesco II SFORZA [COE] // Francesco II Sforza [CWE] // Sforza, Francesco Maria [ALLEN]","1535-10-16","1535-10-16"
"6bed3cc3-243f-4296-a95e-ef216f654fe1","Bernardo BOERIO [COE] // Bernardo Boerio [CWE] // Boerio, Bernard [ALLEN]","1530-01-13","1531-04-11"
"6c67cb9e-9b36-4dbd-844a-34b5ea2723b7","EDMOND [COE] // Edmond [CWE] // Edmund [ALLEN]","1501-09-01","1502-01-01"
"6e7a1b06-199d-4e00-b7a8-43c37562f69e","Giovanni Battista BOERIO [COE] // Giovanni Battista Boerio [CWE] // Boerio, John Baptista [ALLEN]","1512-11-11","1512-11-11"
"6f3ea33e-e9c0-4b1b-a69b-2fe18a3da200","Robert TONEYS [COE] // Robert Toneys [CWE] // Tones, Robert [ALLEN]","1524-09-05","1524-09-05"
"6f83e940-aa06-4dfb-b7c5-e28aaee1ae55","Jan Dirksz van der HAER [COE] // Jan Dirksz van der Haer [CWE] // Harius, Joannes Theodericus [ALLEN]","1520-09-09","1520-09-09"
"6f9bbd3f-5822-4598-b948-79838f51a1bc","Quirinus TALESIUS [COE] // Quirinus Talesius [CWE] // Talesius, Quirinus [ALLEN]","1528-03-12","1532-10-31"
"6fbae09a-eada-4de7-8a32-3ff5d6f20120","Claudius JANANDUS [COE] // Claudius Janandus [CWE] // Janandus, Claudius [ALLEN]","1529-04-01","1529-04-01"
"72887c3a-5637-4d49-8304-78348b7ac285","Stanislaw BONER [COE] // Stanislaw Boner [CWE] // Boner, Stanislas [ALLEN]","1531-12-12","1531-12-12"
"731b5c3f-43c4-42d9-b5ea-d88c68c0f72f","GERARD of Kloster [COE] // Gerard of Kloster [CWE] // Kloster, Gerard of [ALLEN]","1520-06-21","1520-06-21"
"737f6ea4-f09e-4028-a54b-ef8c69532457","Jacob MAURITSZOON [COE] // Jacob Mauritszoon [CWE] // Mauritsz, James [ALLEN]","1503-09-28","1506-11-04"
"744c7230-e2ec-454b-96cc-14304a43ae53","Roger WENTFORD [COE] // Roger Wentford [CWE] // Wentford, Roger [ALLEN]","1506-06-12","1518-04-24"
"7465fc59-da41-445e-bda8-92d30dae0062","ELISABETH [COE] // Elisabeth, a nun [CWE] // Elizabeth, Nun [ALLEN]","1487-01-01","1487-01-01"
"7503a7be-c746-42ac-a313-58effb67965a","Henricus AFINIUS [COE] // Henricus Afinius [CWE] // Afinius, Henricus [ALLEN]","1517-02-01","1518-03-13"
"75daaa05-8cc6-4fc8-950f-1d09c2c854f3","Andreas KNOPKEN [COE] // Andreas Knopken [CWE] // Knopken, Andrew [ALLEN]","1520-12-31","1520-12-31"
"765fca52-1a5b-43b8-9391-3baae3aac874","Jacob de VOECHT [COE] // Jacob Voogd [CWE] // Tutor, James (Voecht) [ALLEN]","1501-07-02","1519-09-10"
"77be6bec-d537-428e-af68-7c89ee5c74d1","Etienne PONCHER [COE] // Etienne Poncher [CWE] // Poncher, Stephen [ALLEN]","1517-02-14","1519-10-02"
"7aaa6983-3e9b-47f4-b351-9b41e7b5b77f","Leonhard von ECK [COE] // Leonhard von Eck [CWE] // Eck, Leonard [ALLEN]","1535-06-30","1535-08-05"
"7b349e50-429c-4da6-a48b-56341bb9e3d7","Wolfgang Andreas REM [COE] // Wolfgang Andreas Rem [CWE] // Rem, Wolfgang [ALLEN]","1531-01-02","1531-01-02"
"7b571fcd-8fad-4e90-a3bd-925f385ce322","Francisco de VERGARA [COE] // Francisco de Vergara [CWE] // Vergara, Francisco [ALLEN]","1527-09-02","1530-01-13"
"7c127314-5aa7-4d96-8012-e7040fd8d4f0","Nicolaus EPISCOPIUS [COE] // Nicolaus Episcopius [CWE] // Episcopius, Nicolaus [ALLEN]","1526-05-16","1530-01-17"
"7cf1008c-6d0d-48af-b686-f99a867fda90","Arnoldus BOSTIUS [COE] // Arnoldus Bostius [CWE] // Bostius, Arnold (Boschius) [ALLEN]","1497-03-01","1498-04-01"
"7d54f660-821d-4e6c-8896-b68f06f217c8","LEONTIUS [COE] // Leontius [CWE] // Leontius [ALLEN]","1520-01-01","1520-01-01"
